batch_size,seq_len,dynamic_status,dynamic_tps,dynamic_peak_gib,quantized_status,quantized_tps,quantized_peak_gib,q_tps_over_dyn,q_peak_over_dyn
1,512,ok,112.10660156312238,0.055315494537353516,ok,65.48365181632963,0.036577701568603516,0.5841194979000288,0.6612559803456748
1,1024,ok,108.49310561756926,0.09182977676391602,ok,75.50846704581956,0.07217645645141602,0.6959747959652083,0.7859809638541705
1,2048,ok,102.00036192332844,0.18463373184204102,ok,71.4691216579782,0.14532709121704102,0.7006751771302544,0.7871101871101871
1,4096,ok,89.84441922540128,0.363405704498291,ok,68.755485092225,0.284792423248291,0.7652727424252311,0.7836762596819123
1,8192,ok,69.42996796147439,0.726809024810791,ok,56.88027453490101,0.569582462310791,0.8192467345867565,0.7836755500649837
2,512,ok,203.9653012230029,0.09182977676391602,ok,139.1318115452187,0.07217645645141602,0.682134709732322,0.7859809638541705
2,1024,ok,194.4555916396784,0.18463373184204102,ok,140.84619648754784,0.14532709121704102,0.7243103440734814,0.7871101871101871
2,2048,ok,170.43489725091098,0.363405704498291,ok,119.10600976622804,0.284792423248291,0.6988358117227745,0.7836762596819123
2,4096,ok,137.0109118592966,0.726809024810791,ok,115.08445217319051,0.569582462310791,0.8399655955240741,0.7836755500649837
2,8192,ok,92.49509330610115,1.453615665435791,ok,80.595134161935,1.139162540435791,0.8713449684862233,0.7836751952547735
4,512,ok,381.21441137962,0.18463373184204102,ok,241.6200612961484,0.14532709121704102,0.6338167028411182,0.7871101871101871
4,1024,ok,341.00203075742337,0.363405704498291,ok,254.04592430233407,0.284792423248291,0.7449982738755396,0.7836762596819123
4,2048,ok,270.9382778431562,0.726809024810791,ok,232.01879848885085,0.569582462310791,0.8563529684172737,0.7836755500649837
4,4096,ok,190.01209851196856,1.453615665435791,ok,164.50257214148718,1.139162540435791,0.8657478835808207,0.7836751952547735
4,8192,oom,,2.89508056640625,oom,,2.89508056640625,,1.0
8,512,ok,684.4224282269581,0.363405704498291,ok,373.86874652181206,0.284792423248291,0.5462543761027001,0.7836762596819123
8,1024,ok,560.1266883519752,0.726809024810791,ok,384.6421827934191,0.569582462310791,0.6867056878241726,0.7836755500649837
8,2048,ok,394.722168326029,1.453615665435791,ok,342.9655068703252,1.139162540435791,0.8688782500481343,0.7836751952547735
8,4096,oom,,2.893096923828125,oom,,2.893096923828125,,1.0
8,8192,oom,,5.78619384765625,oom,,5.78619384765625,,1.0
