cache_mode,batch_size,rows,mean_tokens_per_sec,median_latency_ms,max_peak_delta_gib,mean_kv_actual_over_theory
dynamic,1,5,96.37489125817915,627.4487540358678,0.726809024810791,1.0
dynamic,2,5,159.672359055798,751.0199029929936,1.453615665435791,1.0
dynamic,4,4,295.79170462304205,847.796656540595,1.453615665435791,1.0
dynamic,8,3,546.4237616349875,914.0789229422808,1.453615665435791,1.0
no_cache,1,5,16.592868907281648,5322.143053053878,0.5159878730773926,1.0
no_cache,2,5,18.62093054754562,9843.677707016468,1.0277152061462402,1.0
no_cache,4,4,23.74082261839004,14918.450422468593,1.03663969039917,1.0
no_cache,8,3,30.20704489144366,19839.502046001144,1.0570731163024902,1.0
offloaded,1,5,68.79266844077748,853.1491309404373,0.515871524810791,1.0
offloaded,2,5,107.63456252678247,1185.337511007674,1.031740665435791,1.0
offloaded,4,4,181.7154165588702,1494.6234135422856,1.031740665435791,1.0
offloaded,8,3,296.1767714591695,1772.7695669746026,1.031740665435791,1.0
quantized,1,5,67.61940002945069,503.71403992176056,0.569582462310791,1.0
quantized,2,5,118.95272082682402,570.9199740085751,1.139162540435791,1.0
quantized,4,4,223.04683905720512,890.200907480903,1.139162540435791,1.0
quantized,8,3,367.15881206185213,727.9492799425498,1.139162540435791,1.0
