timestamp,gpu_name,detected_gpu_name,model,resolved_model,dtype,cache_mode,batch_size,seq_len,chunk_size,status,success,error_type,error_message,elapsed_sec,tokens_processed,throughput_tokens_per_sec,peak_memory_allocated_mib,peak_memory_reserved_mib,peak_vram_used_mib,final_vram_used_mib,avg_gpu_util_percent,max_gpu_util_percent,avg_memory_util_percent,max_memory_util_percent,avg_power_draw_w,max_power_draw_w,final_cache_seq_len,oom,position_valid,max_position_embeddings,num_hidden_layers,num_attention_heads,num_key_value_heads,head_dim,kv_formula_type,kv_theory_mb,kv_actual_mb,kv_actual_over_theory,peak_memory_mb,theoretical_dynamic_kv_mib,cache_tensor_total_mib,cache_tensor_cuda_mib,quant_backend,quant_bits,measurement
2026-06-02T10:19:52,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,1024,128,OK,True,,,0.443558,1024,2308.606911,2990.724609,3178.000000,3635.000000,3619.000000,3.750000,5.000000,0.000000,0.000000,21.075000,24.340000,1024,False,True,32768,28,12,2,128,gqa_mqa,28.000000,28.000000,1.000000,2990.724609,28.000000,28.000000,28.000000,,,chunked_cache_growth
2026-06-02T10:19:53,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,2048,128,OK,True,,,0.210322,2048,9737.455149,3025.107422,3238.000000,3679.000000,3619.000000,5.000000,5.000000,0.000000,0.000000,56.520000,60.380000,2048,False,True,32768,28,12,2,128,gqa_mqa,56.000000,56.000000,1.000000,3025.107422,56.000000,56.000000,56.000000,,,chunked_cache_growth
2026-06-02T10:19:54,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,4096,128,OK,True,,,0.496553,4096,8248.869787,3094.123047,3334.000000,3701.000000,3619.000000,5.000000,5.000000,0.000000,0.000000,88.345000,100.610000,4096,False,True,32768,28,12,2,128,gqa_mqa,112.000000,112.000000,1.000000,3094.123047,112.000000,112.000000,112.000000,,,chunked_cache_growth
2026-06-02T10:19:55,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,8192,128,OK,True,,,1.305668,8192,6274.182226,3231.529297,3572.000000,4035.000000,3619.000000,5.000000,5.000000,0.000000,0.000000,117.338182,138.470000,8192,False,True,32768,28,12,2,128,gqa_mqa,224.000000,224.000000,1.000000,3231.529297,224.000000,224.000000,224.000000,,,chunked_cache_growth
2026-06-02T10:19:58,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,12288,128,OK,True,,,2.396964,12288,5126.485555,3370.185547,3944.000000,4407.000000,3619.000000,5.000000,5.000000,0.000000,0.000000,130.480000,146.610000,12288,False,True,32768,28,12,2,128,gqa_mqa,336.000000,336.000000,1.000000,3370.185547,336.000000,336.000000,336.000000,,,chunked_cache_growth
2026-06-02T10:20:02,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,16384,128,OK,True,,,3.822897,16384,4285.755132,3506.529297,4460.000000,4923.000000,3619.000000,5.000000,5.000000,0.000000,0.000000,138.320333,150.770000,16384,False,True,32768,28,12,2,128,gqa_mqa,448.000000,448.000000,1.000000,3506.529297,448.000000,448.000000,448.000000,,,chunked_cache_growth
2026-06-02T10:20:02,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,1024,128,OK,True,,,0.133834,2048,15302.551886,3026.983398,3254.000000,3717.000000,3619.000000,5.000000,5.000000,0.000000,0.000000,121.260000,121.830000,1024,False,True,32768,28,12,2,128,gqa_mqa,56.000000,56.000000,1.000000,3026.983398,56.000000,56.000000,56.000000,,,chunked_cache_growth
2026-06-02T10:20:03,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,2048,128,OK,True,,,0.266873,4096,15348.152972,3096.249023,3350.000000,3717.000000,3619.000000,5.000000,5.000000,0.000000,0.000000,91.015000,92.280000,2048,False,True,32768,28,12,2,128,gqa_mqa,112.000000,112.000000,1.000000,3096.249023,112.000000,112.000000,112.000000,,,chunked_cache_growth
2026-06-02T10:20:04,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,4096,128,OK,True,,,0.622849,8192,13152.462928,3233.530273,3588.000000,4051.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,112.490000,137.630000,4096,False,True,32768,28,12,2,128,gqa_mqa,224.000000,224.000000,1.000000,3233.530273,224.000000,224.000000,224.000000,,,chunked_cache_growth
2026-06-02T10:20:06,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,8192,128,OK,True,,,1.605094,16384,10207.502578,3508.467773,4476.000000,4939.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,154.186154,185.230000,8192,False,True,32768,28,12,2,128,gqa_mqa,448.000000,448.000000,1.000000,3508.467773,448.000000,448.000000,448.000000,,,chunked_cache_growth
2026-06-02T10:20:09,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,12288,128,OK,True,,,2.928707,24576,8391.415408,3783.405273,5940.000000,6403.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,180.647391,207.660000,12288,False,True,32768,28,12,2,128,gqa_mqa,672.000000,672.000000,1.000000,3783.405273,672.000000,672.000000,672.000000,,,chunked_cache_growth
2026-06-02T10:20:14,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,16384,128,OK,True,,,4.612964,32768,7103.458111,4058.592773,7980.000000,8443.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,190.310833,208.180000,16384,False,True,32768,28,12,2,128,gqa_mqa,896.000000,896.000000,1.000000,4058.592773,896.000000,896.000000,896.000000,,,chunked_cache_growth
2026-06-02T10:20:14,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,1024,128,OK,True,,,0.192349,4096,21294.680051,3100.750977,3332.000000,3711.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,168.710000,171.830000,1024,False,True,32768,28,12,2,128,gqa_mqa,112.000000,112.000000,1.000000,3100.750977,112.000000,112.000000,112.000000,,,chunked_cache_growth
2026-06-02T10:20:15,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,2048,128,OK,True,,,0.430478,8192,19030.002004,3239.032227,3570.000000,4033.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,129.437500,141.030000,2048,False,True,32768,28,12,2,128,gqa_mqa,224.000000,224.000000,1.000000,3239.032227,224.000000,224.000000,224.000000,,,chunked_cache_growth
2026-06-02T10:20:16,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,4096,128,OK,True,,,1.035791,16384,15817.858105,3514.344727,4458.000000,4921.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,158.582500,183.410000,4096,False,True,32768,28,12,2,128,gqa_mqa,448.000000,448.000000,1.000000,3514.344727,448.000000,448.000000,448.000000,,,chunked_cache_growth
2026-06-02T10:20:19,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,8192,128,OK,True,,,2.768994,32768,11833.898828,4064.219727,7962.000000,8425.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,204.365909,227.590000,8192,False,True,32768,28,12,2,128,gqa_mqa,896.000000,896.000000,1.000000,4064.219727,896.000000,896.000000,896.000000,,,chunked_cache_growth
2026-06-02T10:20:25,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,12288,128,OK,True,,,5.232930,49152,9392.826628,4613.844727,13770.000000,14233.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,212.218049,228.070000,12288,False,True,32768,28,12,2,128,gqa_mqa,1344.000000,1344.000000,1.000000,4613.844727,1344.000000,1344.000000,1344.000000,,,chunked_cache_growth
2026-06-02T10:20:34,rtx5080-16gb,NVIDIA GeForce RTX 5080,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,16384,128,OK,True,,,8.469420,65536,7737.956242,5163.719727,15270.000000,15733.000000,3619.000000,91.000000,91.000000,33.000000,33.000000,214.318333,228.860000,16384,False,True,32768,28,12,2,128,gqa_mqa,1792.000000,1792.000000,1.000000,5163.719727,1792.000000,1792.000000,1792.000000,,,chunked_cache_growth
