model_id,gpu_name,dtype,cache_mode,batch_size,seq_len,max_new_tokens,status,error,latency_ms,tokens_per_sec,generated_tokens_total,theoretical_kv_bytes,actual_prefill_kv_bytes,kv_actual_over_theory,prefill_status,prefill_error,base_allocated_bytes,peak_allocated_bytes,peak_delta_bytes,peak_reserved_bytes,free_before_bytes,free_after_bytes,total_vram_bytes,telemetry_samples,gpu_util_mean_pct,gpu_util_max_pct,memory_util_mean_pct,memory_util_max_pct,power_draw_mean_w,power_draw_max_w,quantized_nbits,quantized_backend,num_layers,num_attention_heads,num_key_value_heads,head_dim
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,1,512,64,ok,,791.4638570000534,80.86282075164385,64,14680064,14680064,1.0,ok,,3088347136,3171727872,83380736,3376414720,4499308544,4444782592,8073838592,6,49.0,90.0,29.0,75.0,56.09666666666667,89.62,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,1,1024,64,ok,,835.7608469959814,76.57693014698944,64,29360128,29360128,1.0,ok,,3121901568,3221027328,99125760,3445620736,4499308544,4375576576,8073838592,6,89.66666666666667,90.0,75.33333333333333,76.0,101.95,105.22,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,1,2048,64,ok,,940.9953770009452,68.01308652968623,64,58720256,58720256,1.0,ok,,3121901568,3320150528,198248960,3550478336,4499308544,4270718976,8073838592,7,61.857142857142854,89.0,36.0,76.0,112.84142857142857,117.62,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,1,4096,64,ok,,1168.262708997645,54.78219882145448,64,117440512,117440512,1.0,ok,,3121901568,3512105472,390203904,3718250496,4499308544,4102946816,8073838592,8,96.25,100.0,51.625,76.0,123.58500000000001,136.06,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,1,8192,64,ok,,1674.690086998453,38.216026055726644,64,234881024,234881024,1.0,ok,,3121901568,3902306816,780405248,4131389440,4499308544,3689807872,8073838592,10,98.4,100.0,51.9,77.0,135.21499999999997,145.17,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,2,512,64,ok,,843.1944629992358,151.80365338821727,128,29360128,29360128,1.0,ok,,3121901568,3221027328,99125760,3443523584,4499308544,4377673728,8073838592,6,89.83333333333333,90.0,76.0,77.0,102.23166666666667,106.53,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,2,1024,64,ok,,946.2712590029696,135.26776680807794,128,58720256,58720256,1.0,ok,,3121901568,3320150528,198248960,3550478336,4499308544,4270718976,8073838592,7,89.0,89.0,71.42857142857143,72.0,105.15142857142858,109.34,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,2,2048,64,ok,,1170.2483059998485,109.37849629326152,128,117440512,117440512,1.0,ok,,3121901568,3512105472,390203904,3718250496,4499308544,4102946816,8073838592,8,86.5,89.0,61.5,72.0,116.54125000000002,131.22,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,2,4096,64,ok,,1628.0481450012303,78.62175353536813,128,234881024,234881024,1.0,ok,,3121901568,3902306816,780405248,4131389440,4499308544,3689807872,8073838592,10,95.8,100.0,59.4,72.0,129.66500000000002,146.45,,,28,12,2,128
/home/ssu/models/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060,fp16,dynamic,2,8192,64,oom,"OutOfMemoryError: CUDA out of memory. Tried to allocate 4.64 GiB. GPU 0 has a total capacity of 7.52 GiB of which 3.62 GiB is free. Including non-PyTorch memory, this process has 3.80 GiB memory in use. Of the allocated memory 3.39 GiB is allocated by PyTorch, and 280.47 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",nan,nan,0,469762048,nan,nan,oom,"OutOfMemoryError: CUDA out of memory. Tried to allocate 4.64 GiB. GPU 0 has a total capacity of 7.52 GiB of which 3.62 GiB is free. Including non-PyTorch memory, this process has 3.80 GiB memory in use. Of the allocated memory 3.39 GiB is allocated by PyTorch, and 280.47 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",3121901568,4678316032,1556414464,5213519872,nan,3884843008,8073838592,0,nan,nan,nan,nan,nan,nan,,,28,12,2,128
