cache_mode,batch_size,rows,mean_tokens_per_sec,median_latency_ms,max_peak_delta_gib,mean_kv_actual_over_theory
dynamic,1,5,63.690212461100124,940.9953770009452,0.726809024810791,1.0
dynamic,2,4,118.76791750623121,1058.259782501409,0.726809024810791,1.0
dynamic,4,3,216.35414762098108,1167.0643580000617,0.726809024810791,1.0
dynamic,8,2,381.5327992399216,1374.4770514967968,0.726809024810791,1.0
no_cache,1,5,7.8302516807199725,11997.62746399938,0.5159878730773926,1.0
no_cache,2,4,9.801371816444126,18172.907816002407,0.5194754600524902,1.0
no_cache,4,3,12.30716472281509,24230.687922994548,0.5283999443054199,1.0
no_cache,8,2,15.564690502565231,37014.676508501,0.5491290092468262,1.0
quantized,1,5,54.056583546150534,1128.070924001804,0.569582462310791,1.0
quantized,2,4,99.32255524590947,1265.5085080004937,0.569582462310791,1.0
quantized,4,3,180.70386552352406,1390.7928359985815,0.569582462310791,1.0
quantized,8,2,321.78568765719643,1632.0880284984014,0.569582462310791,1.0
