cache_mode,batch_size,mean,min,max
dynamic,1,102.95458832642692,74.5519754473019,118.27855301913849
dynamic,2,172.0112499922452,99.3791654657894,221.57864973092316
dynamic,4,279.01181010263565,124.95782917312025,408.5611421040959
dynamic,8,508.949045175752,268.72247407033683,740.651525034282
no_cache,1,17.787287667611956,2.960827745447531,41.5968549304631
no_cache,2,20.039026016543325,2.930566274585669,50.02828921907642
no_cache,4,21.052357911059097,2.951665111403143,53.76510214044016
no_cache,8,26.042407201052704,6.449184122282088,56.46448859249499
offloaded,1,73.89779047037783,36.71203221411372,99.53259261228308
offloaded,2,115.95308475215025,41.75007277942528,188.01865984913923
offloaded,4,164.9305720893156,45.45194139404568,307.6580016069076
offloaded,8,261.76405442865115,99.1656090796776,459.7569179885174
quantized,1,71.13831500789566,59.87343127122456,79.97459609747123
quantized,2,125.32754979824794,87.02047268244023,147.42888493608882
quantized,4,211.97911984393485,108.23782039461936,268.1078954162436
quantized,8,349.80787742406403,230.62098215435824,402.8190444943044
