cache_mode,batch_size,seq_len,max_new_tokens,latency_ms_RTX_5060,latency_ms_RTX_5080,peak_delta_bytes_RTX_5060,peak_delta_bytes_RTX_5080,tokens_per_sec_RTX_5060,tokens_per_sec_RTX_5080,speedup_5080_over_5060,bandwidth_ratio_expected,cuda_core_ratio_expected
dynamic,1,512,64,791.4638570000534,541.0955609986559,83380736.0,59394560.0,80.86282075164385,118.27855301913849,1.4627062464517602,2.142857142857143,2.8
dynamic,1,1024,64,835.7608469959814,550.4637990088668,99125760.0,98601472.0,76.57693014698944,116.26559296948264,1.5182848508853881,2.142857142857143,2.8
dynamic,1,2048,64,940.9953770009452,582.6635359990178,198248960.0,198248960.0,68.01308652968623,109.84040710607964,1.6149893014800423,2.142857142857143,2.8
dynamic,1,4096,64,1168.262708997645,667.8046259912662,390203904.0,390203904.0,54.78219882145448,95.83641309013188,1.7494079308952317,2.142857142857143,2.8
dynamic,1,8192,64,1674.690086998453,858.4614910068922,780405248.0,780405248.0,38.21602605572664,74.5519754473019,1.9508039726210715,2.142857142857143,2.8
dynamic,2,512,64,843.1944629992358,577.6729849894764,99125760.0,98601472.0,151.80365338821727,221.57864973092316,1.4596397700934496,2.142857142857143,2.8
dynamic,2,1024,64,946.2712590029696,611.2154400034342,198248960.0,198248960.0,135.26776680807794,209.41879347694623,1.5481795731430685,2.142857142857143,2.8
dynamic,2,2048,64,1170.2483059998483,695.4400749964407,390203904.0,390203904.0,109.37849629326152,184.0561172731599,1.6827449956861316,2.142857142857143,2.8
dynamic,2,4096,64,1628.0481450012303,878.9788659923943,780405248.0,780405248.0,78.62175353536813,145.6235240144074,1.8522039698452974,2.142857142857143,2.8
dynamic,2,8192,64,,1287.9963259911165,,1560807936.0,,99.3791654657894,,2.142857142857143,2.8
dynamic,4,512,64,950.0136880014908,626.5892020019237,198248960.0,198248960.0,269.4698015757414,408.5611421040959,1.516166708532864,2.142857142857143,2.8
dynamic,4,1024,64,1167.0643580000617,699.7469430061756,390203904.0,390203904.0,219.35379848176848,365.84654289478,1.6678377371485873,2.142857142857143,2.8
dynamic,4,2048,64,1597.6151319991914,878.9898809918668,780405248.0,780405248.0,160.2388428054333,291.24339828704893,1.8175580476494404,2.142857142857143,2.8
dynamic,4,4096,64,,1252.1390420006355,,1560807936.0,,204.4501380541332,,2.142857142857143,2.8
dynamic,4,8192,64,,2048.6911600019084,,3121613312.0,,124.95782917312025,,2.142857142857143,2.8
