cache_mode,batch_size,rows,mean_tokens_per_sec,median_latency_ms,max_peak_delta_gib,mean_kv_actual_over_theory
dynamic,1,5,102.95458832642692,582.6635359990178,0.726809024810791,1.0
dynamic,2,5,172.0112499922452,695.4400749964407,1.453615665435791,1.0
dynamic,4,5,279.01181010263565,878.9898809918668,2.907228946685791,1.0
dynamic,8,4,508.949045175752,1027.16950049944,2.907228946685791,1.0
no_cache,1,5,17.787287667611956,4943.084038997768,0.5159878730773926,1.0
no_cache,2,5,20.039026016543325,9135.117102006916,1.0277152061462402,1.0
no_cache,4,5,21.052357911059097,18675.469210997107,2.05311918258667,1.0
no_cache,8,4,26.042407201052704,28279.857248497137,2.0735526084899902,1.0
offloaded,1,5,73.89779047037783,791.81254201103,0.515871524810791,1.0
offloaded,2,5,115.95308475215025,1103.66453199822,1.031740665435791,1.0
offloaded,4,5,164.9305720893156,1681.631911007571,2.063478946685791,1.0
offloaded,8,4,261.76405442865115,2247.1382189978613,2.063478946685791,1.0
quantized,1,5,71.13831500789566,482.9947069956688,0.569582462310791,1.0
quantized,2,5,125.32754979824794,543.6293839884456,1.139162540435791,1.0
quantized,4,5,211.97911984393485,1038.266242001555,2.278322696685791,1.0
quantized,8,4,349.80787742406403,1039.9801109961118,2.278322696685791,1.0
